0048ba	Absolute Zero
4c2f27	Acajou
b0bf1a	Acid Green
7cb9e8	Aero
c9ffe5	Aero Blue
b284be	African Violet
5d8aa8	Air Force Blue (RAF)
00308f	Air Force Blue (USAF)
72a0c1	Air Superiority Blue
af002a	Alabama Crimson
f2f0e6	Alabaster
f0f8ff	Alice Blue
e32636	Alizarin Crimson
c46210	Alloy Orange
efdecd	Almond
5a6457	Aloeswood Brown (Tonocha)
6a432d	Aloewood (Kyara-iro)
d6d6d6	Aluminum
d2d9db	Aluminum Foil
e52b50	Amaranth
9f2b68	Amaranth Deep Purple
f19cbb	Amaranth Pink
ab274f	Amaranth Purple
d3212d	Amaranth Red
3b7a57	Amazon
ffbf00	Amber
ca6924	Amber (Kohaku-iro)
ff7e00	Amber (SAE/ECE)
3b3b6d	American Blue
391802	American Bronze
804040	American Brown
d3af37	American Gold
34b334	American Green
ff8b00	American Orange
ff9899	American Pink
431c53	American Purple
b32134	American Red
ff033e	American Rose
cfcfcf	American Silver
551b8c	American Violet
f2b400	American Yellow
9966cc	Amethyst
f3c13a	Amur Cork Tree (Kihada)
f2f3f4	Anti-Flash White
cd9575	Antique Brass
665d1e	Antique Bronze
915c83	Antique Fuchsia
841b2d	Antique Ruby
faebd7	Antique White
008000	Ao (English)
66b447	Apple
8db600	Apple Green
fbceb1	Apricot
00ffff	Aqua
86aba5	Aqua Blue (Mizu-iro)
7fffd4	Aquamarine
d0ff14	Arctic Lime
c0c0c0	Argent
4b5320	Army Green
8f9779	Artichoke
e9d66b	Arylide Yellow
7dc242	Asda Green
00dea4	Asda Green (1985)
80c197	Asda Green (1994)
66c992	Asda Green (1999)
32ad61	Asda Green (2002)
c86500	Asda Orange
ca7309	Asda Orange (1968)
b2beb5	Ash Gray
87a96b	Asparagus
003a6c	Ateneo Blue
ff9966	Atomic Tangerine
a52a2a	Auburn
fdee00	Aureolin
6e7f80	AuroMetalSaurus
568203	Avocado
ff2052	Awesome
63775b	Axolotl
007fff	Azure
f0ffff	Azure Mist
dbe9f4	Azureish White
2e5894	B'dazzled Blue
89cff0	Baby Blue
a1caf1	Baby Blue Eyes
f4c2c2	Baby Pink
fefefa	Baby Powder
857c55	Baiko Brown (Baikōcha)
ff91af	Baker-Miller Pink
21abcd	Ball Blue
fae7b5	Banana Mania
ffe135	Banana Yellow
006a4e	Bangladesh Green
e94196	Barbie Pink
e85395	Barbie Pink (1959-1975)
d3419d	Barbie Pink (1975-1990)
f364a2	Barbie Pink (1990-1999)
f7238a	Barbie Pink (1999-2004)
ff3988	Barbie Pink (2004-2005)
fc419a	Barbie Pink (2005-2009)
e0218a	Barbie Pink (Pantone)
7c0a02	Barn Red
1dacd6	Battery Charged Blue
848482	Battleship Grey
5fc9bf	Bayside
98777b	Bazaar
bcd4e6	Beau Blue
9f8170	Beaver
f28e1c	Beer
fa6e79	Begonia
f5f5dc	Beige
5d3f6a	Bellflower(Kikyō-iro)
352925	Betel Nut Dye (Binrōjizome)
9c2542	Big Dip O'Ruby
e88e5a	Big Foot Feet
b14a30	Birch Brown (Kabacha)
ffe4c4	Bisque
3d2b1f	Bistre
967117	Bistre Brown
cae00d	Bitter Lemon
bfff00	Bitter Lime
fe6f5e	Bittersweet
bf4f51	Bittersweet Shimmer
000000	Black
171412	Black (Kokushoku)
3d0c02	Black Bean
252321	Black Chestnut Oak (Kurotsurubami)
1b1811	Black Chocolate
3b2f2f	Black Coffee
54626f	Black Coral
351e1c	Black Kite (Kurotobi)
253529	Black Leather Jacket
3b3c36	Black Olive
bfafb2	Black Shadows
ffebcd	Blanched Almond
a57164	Blast-off Bronze
318ce7	Bleu de France
ace5ee	Blizzard Blue
faf0be	Blond
8a0303	Blood
a41313	Blood (Animal)
630f0f	Blood (Organ)
d1001c	Blood Orange
660000	Blood Red
f35336	Blood Red (Benihi)
0000ff	Blue
1f75fe	Blue (Crayola)
0093af	Blue (Munsell)
0087bd	Blue (NCS)
0018a8	Blue (Pantone)
333399	Blue Pigment
0247fe	Blue (RYB)
a2a2d0	Blue Bell
52593b	Blue Black Crayfish (Aoni)
00b9fb	Blue Bolt
0088dc	Blue Cola
5dadec	Blue Jeans
4cb7a5	Blue Lagoon
0cbfe9	Blue Raspberry
126180	Blue Sapphire
2b2028	Blue Violet (Shikon)
5072a7	Blue Yonder
6699cc	Blue-Gray
0d98ba	Blue-Green
064e40	Blue-Green (Color Wheel)
3a6960	Blue-Green (Seiheki)
553592	Blue-Magenta Violet
8a2be2	Blue-Violet
4d1a7f	Blue-Violet (Color Wheel)
7366bd	Blue-Violet (Crayola)
4f86f7	Blueberry
1c1cf0	Bluebonnet
de5d83	Blush
542d24	Boiled Red Bean Brown (Momoshiocha)
79443b	Bole
0095b6	Bondi Blue
e3dac9	Bone
dde26a	Bored Accent Green
0e9ca5	Boy Red
873260	Boysenberry
0070ff	Brandeis Blue
87413f	Brandy
b5a642	Brass
ff631c	Brave Orange
e68364	Brewed Mustard-Brown (Tokigaracha)
cb4154	Brick Red
ebecf0	Bright Gray
66ff00	Bright Green
bf94e4	Bright Lavender
d891ef	Bright Lilac
c32148	Bright Maroon
1974d2	Bright Navy Blue
ff007f	Bright Pink
